Abilene Christian University, Private, TX, Planning for in-person, plans to reopen classes in the fall, https://www.acu.edu/coronavirus/april-29-2020-news-release-about-plans-to-reopen-campus-in-fall-2020.html
Adrian College, Private, MI, Planning for in-person, planning to reopen campus for fall, http://adrian.edu/news/ac-president-docking-says-campus-will-be-open-in-fall
Agnes Scott College, Private, GA, Planning for in-person, plans to resume on-campus instruction , https://www.agnesscott.edu/coronavirus/updates/covid19-task-force-05-01.html
Albion College, Private, MI, Planning for in-person, planning for in-person, https://www.albion.edu/student-life/health-services/covid-19
Alma College, Private, MI, Considering a range of scenarios, monitoring coronavirus developments, https://www.alma.edu/coronavirus-updates/
American University, Private, DC, Waiting to decide, expects a decision sometime in June, https://www.american.edu/president/announcements/may-11-2020.cfm
Amherst College, Private, MA, Waiting to decide, hopes to decide by June, https://www.amherststudent.com/article/president-martin-raises-possibilities-for-fall-semester-fields-student-questions-in-virtual-town-hall
Allan Hancock College, Public, CA, Planning for online, plans to offer most fall classes remotely, https://www.hancockcollege.edu/news/newsreleases/05-11-2020%20Fall%20Classes.php
Albany College of Pharmacy and Health Sciences, Private, NY, Planning for in-person, The plan is to begin the fall semester on time  ideally with students on campus., https://www.acphs.edu/sites/default/files/Coronavirus%20Update%20%23%2010%20-%204-17-20.pdf
Angelo State University, Public, TX, Planning for in-person, intends to have students  faculty  and staff back on campus for the fall semester, https://www.angelo.edu/emergency-notifications/coronavirus-updates.php
Anne Arundel Community College, Public, MD, Planning for online, will offer most fall classes online, https://www.thecampuscurrent.com/8993/front-page/showcase/classes-at-start-of-fall-semester-to-be-online/
Appalachian State University, Public, NC, Planning for in-person, planning on offering in-person fall classes, https://chancellor.appstate.edu/newsletter/id/194
Arizona State University, Public, AZ, Planning for in-person, planning to resume in-person classes, https://eoss.asu.edu/health/announcements/coronavirus
Arkansas State University, Public, AR, Planning for in-person, Expects to be on campus in the fall, http://www.astate.edu/news/chancellor-damphousse-announces-plans-for-fall-semester
Assumption College, Private, MA, Considering a range of scenarios, planning a range of options, https://vimeo.com/417654418
Augustana College, Private, IL, Planning for in-person, planning for in-person fall classes, https://www.augustana.edu/about-us/news/information-statement-regarding-coronavirus
Austin Peay State University, Public, TN, Planning for in-person, planning for in-person fall classes, https://www.wsmv.com/news/austin-peay-state-university-plans-to-resume-in-person-classes-in-fall/article_f307ee3c-8e19-11ea-80f4-6723d3638edc.html
Averett University, Private, VA, Planning for in-person, making plans to reopen in the fall, https://www.averett.edu/student-life/campus-security/livesafe/
Azusa Pacific University, Private, CA, Planning for in-person, planning for in-person, http://azu/
Babson College, Private, MA, Considering a range of scenarios, preparing for a range of scenarios, https://entrepreneurship.babson.edu/babson-college-open-fall/
Ball State University, Public, IN, Planning for in-person, planning for in-person, https://www.youtube.com/watch?v=ieuOdm6M5t4
Bard College, Private, NY, Planning for in-person, planning for in-person, http://chestertownapts.com/
Barnard College, Private, NY, Considering a range of scenarios, preparing for a range of scenarios, https://alert.barnard.edu/news/financial-decision-making-and-summer
Baylor University, Private, TX, Planning for in-person, We intend to safely resume in-person teaching  learning and residential life for the fall 2020 semester., https://www.baylor.edu/president/news.php?action=story&story=218786
Beacon College, Private, FL, Planning for in-person, plans to hold fall semester on-campus, https://www.beaconcollege.edu/beacon-news/2020/04/coronavirus-update-april-17-2020/
Belhaven University, Private, MS, Planning for in-person, planning to for in-person classes in the fall, https://www.belhaven.edu/coronavirus/Letter-to-students-May.pdf
Beloit College, Private, WI, Proposing a hybrid model, shifting to a module based semester to allow flexibility to move toward either online or in-person classes, https://www.beloit.edu/live/blurbs/630-reasons-for-module-based-semester-letter-sent-to
Bethel University, Private, MN, Planning for in-person, planning for in-person, https://www.bethel.edu/covid-19/images/5-11-20-covid-19-update.pdf
Binghamton University, Public, NY, Planning for in-person, planning for in-person, https://www.binghamton.edu/president/statements.html
Biola University, Private, CA, Planning for in-person, planning for an in-person fall semester, https://www.biola.edu/coronavirus#april_30_2020_message_from_president_corey
Black Hills State University, Public, SD, Planning for in-person, will resume on-campus instruction in the fall, https://www.usd.edu/news/2020/usd-prepares-for-fall-semester-launch
Bloomsburg University, Public, PA, Planning for in-person, expects to return to campus in fall semester, https://bloomu.edu/coronavirus
Bloomfield College, Private, NJ, Considering a range of scenarios, considering a range of scenarios, https://bloomfield.edu/campus-life/campus-security/campus-alerts/coronavirus-updates/messages-president-marcheta-p-evans
Boston College, Private, MA, Waiting to decide, plans to decide by the end of June, https://www.bc.edu/content/bc-web/sites/updates/coronavirus.html
Boston University, Private, MA, Planning for in-person,  leaning toward in-person classes, http://www.bu.edu/articles/2020/covid-19-recovery-plan/
Bowdoin College, Private, ME, Waiting to decide, If we can find a way  to be back on campus in the fall — a way that is safe for the campus and Brunswick community — we will be back., https://www.bowdoin.edu/covid-19/messages/04-30-2020.html
Bowling Green State University, Public, OH, Planning for in-person, planning for in-person, https://www.13abc.com/content/news/UT-BGSU-announce-plans-to-reopen-for-in-person-classes-in-fall-570374001.html
Bradley University, Private, IL, Planning for in-person, intends to reopen campus in the fall, https://www.centralillinoisproud.com/news/local-news/bradley-university-resuming-on-campus-classes-in-the-fall/
Brown University, Private, RI, Planning for in-person, The university is leaning toward in-person classes. Brown’s president  Christina Paxson  wrote an op-ed in The New York Times that called the reopening of college campuses a national priority and that proposed strict virus testing and tracing protocols to ensure safety., https://www.wsj.com/articles/the-big-question-for-colleges-will-there-be-a-fall-semester-on-campus-11587474000; https://www.nytimes.com/2020/04/26/opinion/coronavirus-colleges-universities.html
Bryant University, Private, RI, Planning for in-person, intends to hold fall semester on campus, https://www.providencejournal.com/news/20200430/bryant-university-planning-to-open-campus-for-fall-semester
Bucknell University, Private, PA, Considering a range of scenarios, considering a range of scenarios, https://www.bucknell.edu/life-bucknell/health-wellness-safety/coronavirus-covid-19-updates
Catholic University of America, Private, DC, Planning for in-person, planning to reopen in the fall, https://communications.catholic.edu/coronavirus/index.html
California Baptist University, Private, CA, Planning for in-person, planning to resume on-ground classes for the fall semester, https://calbaptist.edu/news/cbu_update_coronavirus_1
